97	2209	5	1122422400
69	935	2	1101945600
891	1946	4	1151798400
1880	399	5	1395100800
4350	1945	5	1388448000
215	161	3	1082073600
1641	1184	4	1151539200
237	2407	4	1205798400
4	810	3	1229472000
5817	24	5	1372118400
888	36	5	1024012800
229	566	5	1137369600
588	1021	3	1074297600
283	988	5	1113955200
3562	863	5	1029283200
1876	2019	1	1285286400
6137	7	5	1108339200
3576	617	2	1150070400
1047	47	3	1131840000
320	1066	3	1066953600
5747	247	1	1012521600
607	334	5	1402876800
1432	2318	5	1010880000
601	2063	5	1314662400
2553	133	5	964828800
2612	295	5	1355184000
460	249	3	1123545600
2182	684	5	1381276800
64	54	5	1265155200
751	764	4	1082073600
1216	915	4	1162684800
36	83	4	1095206400
75	1571	3	1263513600
2126	47	4	1104364800
374	980	4	947721600
500	618	3	1366070400
85	26	3	1366675200
843	526	5	1159574400
623	1436	4	1357862400
360	2152	4	1354579200
103	370	4	1114128000
256	13	5	1021507200
759	2697	5	1173312000
562	580	5	1129939200
554	834	5	1195948800
888	0	5	1024012800
3701	83	5	973123200
2015	673	1	985046400
1323	43	4	1272499200
76	1226	4	979862400
5184	1933	5	1127433600
796	109	5	1110326400
6124	384	5	1374105600
1075	83	2	1399593600
1239	1529	3	1155945600
20	361	5	1211673600
1439	1338	4	1003708800
5532	773	1	1016582400
2170	496	4	1384992000
20	42	5	1008979200
1854	873	5	1003708800
69	777	3	1135987200
1479	141	5	1221091200
224	1050	5	962496000
1075	2153	5	1393891200
267	1149	5	1139356800
685	49	5	1094947200
136	193	2	1038355200
2078	144	2	1365638400
1584	716	5	1381968000
407	34	1	1023321600
13	675	5	1273968000
488	1540	3	1092268800
1	303	5	1039824000
151	434	5	1028678400
934	2357	5	1210377600
1151	485	3	1067299200
454	1967	5	1226534400
146	153	5	1087862400
539	2312	4	1159833600
802	140	5	1221609600
5883	1497	4	1167436800
3923	377	2	1126051200
1450	297	5	1366675200
2246	353	4	1116979200
1188	309	3	1093564800
3572	116	1	1266796800
2725	412	5	1225584000
1617	534	4	1310169600
63	674	4	1274140800
2493	643	5	1157241600
746	2157	5	1128729600
3846	75	5	1381708800
514	731	5	1249689600
1027	418	1	944265600
753	2371	5	1167350400
639	27	4	1089244800
1021	765	5	1123027200
1206	431	5	1326153600
1886	267	1	1147392000
2258	949	4	967248000
2154	1553	4	1137369600
1177	241	4	1131062400
1973	34	5	1208304000
1589	2467	5	1377993600
3873	2380	5	1397692800
2610	444	5	983404800
415	634	5	1125100800
35	68	4	1142812800
526	888	5	1017273600
766	291	5	1144800000
4315	1134	5	1074556800
294	47	4	1155340800
3761	691	3	1023148800
2569	60	5	1042675200
